participant_id,device_type,retry_count,time_taken,tab_switches,mouse_idle_time,typing_pauses,used_visual_toggle,frustration_label
Subject-01,Desktop,0,4.5,0,1.2,0,0,Low
Subject-02,Desktop,0,6.1,0,0.8,0,1,Low
Subject-03,Tablet,0,8.4,1,5.0,0,0,Low
1,Desktop,0,26.5,0,4,0,0,Low
1,Desktop,0,10.32,0,1,0,0,Low
1,Desktop,0,36.1,0,15,0,0,Low
1,Desktop,0,38.06,0,27,0,0,Low
1,Desktop,0,9.51,0,1,0,0,Medium
1,Desktop,0,25.7,0,17,0,0,Medium
1,Desktop,0,20.52,0,11,0,0,Low
1,Desktop,0,21.18,0,14,0,0,Low
1,Desktop,0,11.62,0,0,0,0,Low
1,Desktop,0,11.88,0,0,0,0,Low
1,Desktop,0,14.69,0,7,0,0,Low
1,Desktop,0,5.67,0,0,0,0,Low
1,Desktop,0,10.49,0,2,0,0,Low
1,Desktop,0,8.6,0,1,0,0,Low
1,Desktop,0,18.06,0,4,0,0,Low
1,Desktop,0,18.48,0,10,0,0,Low
1,Desktop,0,7.02,0,0,0,0,Low
1,Desktop,0,7.17,0,0,0,0,Low
1,Desktop,0,11.89,0,5,0,0,Low
1,Desktop,0,10.13,0,1,0,0,Low
